Scheme Name,Details,Entities
Farmers Training,"The “Farmers Training” scheme, by the Agriculture-Farmers Welfare Department, Tamil Nadu, offers training to farmers and agricultural laborers to enhance their skills and knowledge. Each training session supports up to 50 participants, with a grant of ₹5,000/- provided per session to cover the costs.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Agriculture-Farmers Welfare Department""], ""INCOME"": [""5,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
LIDCOM Training Scheme,"Being implemented particularly for the (Scheduled Caste) Charmakar Community, the ""Training Scheme"" is a scheme by the Leather Industries Development Corporation (LIDCOM), Govt. of Maharashtra. This scheme is being implemented for the students to enable them to start their own businesses, trade, or get a job. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is completely funded by the Govt. of Maharashtra. The main objective of LIDCOM is to implement various schemes to uplift the lifestyle of Charmakars (Dhor, Chambhar, Holar, Mochi, etc.) who are economically weak and below the poverty line and with an intention to develop them educationally, economically, and socially so as to give them a respectable place in society.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Govt"", ""Charmakars""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""Scheduled Caste""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Cycle Sahayata Yojana,"""Cycle Sahayata Yojana"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. This is a 100% State Sponsored Scheme. Only the residents/domicile of the state of Jharkhand can apply to this scheme. Applications for this scheme are accepted online through the official website of the department. In this scheme, bicycles are provided to the women workers.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Jharkhand""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Providing Tin stalls to Gatai Kamgar,"""Providing Tin Stalls to Gatai Kamgar"" is a social welfare scheme by the Department of Social Justice & Special Assistance of the Government of Maharashtra. The scheme aims to uplift Scheduled Caste individuals engaged in leather footwear production and leather goods preparation. The scheme offers 100% government-funded tin stalls and provides ₹500/- as financial assistance to help protect them from heat, rain, and wind.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""500/-""], ""SOCIAL_CATEGORY"": [""Scheduled Caste""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Sant Ravi Das Swarojgaar Yojana,"The Sant Ravi Das Swarojgaar Yojana under the Tribal Welfare and SC Department, Madhya Pradesh, provides funding for manufacturing units (₹1 lakh to ₹50 lakh) and service/retail trade projects (₹1 lakh to ₹25 lakh) for Scheduled Caste applicants. Scheduled Caste beneficiaries can receive a 5% annual interest subsidy on Term and Working Capital Loans for up to 7 years, including the moratorium period. Beneficiaries can also avail a 12-day entrepreneurship development training through an online training module.","{""AGE"": [""up to 7 years"", ""12-day""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""1"", ""50"", ""1"", ""25""], ""SOCIAL_CATEGORY"": [""SC"", ""Scheduled Caste"", ""Scheduled Caste""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Gujarat Textile Policy: Assistance to SHG for Job Work,"The ""Gujarat Textile Policy"" is an umbrella scheme introduced by the Industries and Mines Department, Gujarat. It aimed at augmenting investments in the textile sector and strengthening the textile value chain across each sub-sector, while also focusing on strengthening the garments and apparel as well as technical textiles industry. Effective from October 1st, 2024 to September 29th, 2029, this initiative focuses on reducing the carbon footprint and promoting green growth, thereby making the sector globally competitive and environmentally sustainable.
The component ""Assistance to SHG for Job Work"" provides financial assistance to Self-Help Groups (SHGs) engaged in job work. Eligible SHG members can receive payroll assistance and incentives to enhance their financial stability and encourage women's participation in industrial activities.","{""AGE"": [""October 1st, 2024 to September 29th, 2029""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhya Mantri Sarvajan Uchcha Shiksha Chhatravriti Yojana,"The scheme ""Mukhyamantri Sarvajan Uchcha Shiksha Chhatravriti Yojana"" was launched by the Department of Social Justice & Empowerment, Government of Rajasthan. The main objective of this scheme is to provide financial assistance to students of all sections & castes of Rajasthan who are pursuing higher education in nationally recognized institutions. Under this scheme, 50% of the non-refundable institutional fees are reimbursed to eligible students studying in IITs, IIMs, and other premier institutions.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Chhatravriti"", ""Yojana"", ""Rajasthan""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Incentive Assistance to Scheduled Tribe Farmers to Increase the Area, Production and Productivity of Sugarcane Farming","The scheme ""Incentive Assistance to Scheduled Tribe Farmers to Increase the Area, Production and Productivity of Sugarcane Farming"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support Scheduled Tribe farmers by providing cash incentives for high-quality seeds, modern farming techniques, and agricultural mechanization. The scheme encourages farmers to enhance productivity and profitability.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [""the Agriculture, Farmers Welfare and Cooperation Department""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
West Bengal Artisans Financial Benefit Scheme 2024: Grant to Industrial Cooperative Society,"“Grant to Industrial Cooperative Society” is a sub-scheme under “West Bengal Artisans Financial Benefit Scheme 2024"", launched by the Micro, Small & Medium Enterprise and Textiles Department, Government of West Bengal on 7th March, 2024, and it shall remain in force for a period of five years. The objective of the scheme is to provide systematic financial support for tools, equipment, Workshed and other fixed assets to a group of at least 10 artisans coming under an industrial cooperative society.","{""AGE"": [""7th March, 2024""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Free Coaching for Students with Disabilities,"The Free Coaching for Students with Disabilities scheme under the Department of Empowerment of Persons with Disabilities (DEPwD) is a centrally sponsored scheme that provides financial assistance to voluntary organizations for providing free coaching to students with disabilities for competitive examinations.
﻿
The scheme is open to students with disabilities who have at least 40% disability and are preparing for competitive examinations conducted by the Union Public Service Commission (UPSC), Staff Selection Commission (SSC), various Railway Recruitment Boards (RRBs) for Group 'A' and 'B' posts, State Public Service Commissions for Group 'A' and 'B' posts, and other competitive examinations for admission in higher educational institutions and jobs.
﻿
To be eligible for the scheme, voluntary organizations must be registered under the Societies Registration Act, 1860, or relevant Act of the State/Union Territory. They must also have been in existence for at least two years and have the necessary infrastructure and experience to provide coaching to students with disabilities.
﻿
Students with disabilities who are interested in availing the benefits of the scheme can apply to voluntary organizations that are empaneled with the DEPwD.
﻿
The scheme provides 100% financial assistance to voluntary organizations for providing free coaching to students with disabilities. The financial assistance is provided for the following purposes:
﻿
Coaching fees
Stipend for students
Cost of study material
Other incidental expenses
The Free Coaching for Students with Disabilities scheme is a valuable scheme that helps to level the playing field for students with disabilities. It provides them with the opportunity to compete effectively in competitive examinations and to get admission in higher educational institutions and jobs","{""AGE"": [""1860""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""disability""]}"
Sikkim Unmarried Women Pension Scheme,"The Govt. of Sikkim launched a scheme named “Sikkim Unmarried Women Pension Scheme (SUWPS)” in 2013 for unmarried women of Below Poverty Line (BPL) families in Sikkim. Under this scheme, the unmarried women of BPL families in the age group 45-59 years without any source of income are eligible for payment of ₹ 2,000 as a monthly pension. This scheme is 100% State Innovative Scheme and the unmarried woman should not have been covered by any other existing pension schemes of the State or Central government.","{""AGE"": [""2013"", ""45-59 years""], ""GENDER"": [], ""LOCATION"": [""Sikkim""], ""OCCUPATION"": [], ""INCOME"": [""2,000""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [""Unmarried"", ""unmarried"", ""unmarried"", ""unmarried""], ""DISABILITY"": []}"
Deepawali Cash Gift Scheme (PULWS),"The ""Deepawali Cash Gift Scheme (PULWS)"" is a Welfare Scheme for the Unorganized Workers in Puducherry by the ""Puducherry Unorganised Labourers' Welfare Society"", Labour Department, Union Territory of Puducherry. The Society extends ₹500/- to the Unorganised Workers as a Cash Gift during the festival of Diwali. The amount is credited through Direct Benefit Transfer (DBT) into the bank account of the worker. The applications are accepted offline.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Diwali""], ""OCCUPATION"": [""the Unorganized Workers"", ""the Unorganised Workers""], ""INCOME"": [""500/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Scheme For Grant Of Rewards To The Children Of Salt Labourers,"The scheme “Scheme for Grant of Rewards to the Children of Salt Labourers” was launched by Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Commerce and Industry in the year 1985. Initially, the scheme known as “Scheme for grant of rewards to the children of labourers working in Salt Industry (CRS)” was initiated for granting 20 rewards to the children of the salt workers to enable them to meet the initial expenses either partly or wholly for purchase of books, stationeries, etc., on admission to recognized institutes for higher studies.
Since 2011-12 the numbers of rewards are 3500 with a financial implication of ₹45.00 Lakh. Under the scheme, the financial assistance will be given as ₹1000/- for the students of classes VI to VIII, ₹1500/- for classes IX to X, and ₹2000/- for classes XI to XII with the proviso that awards for girl child be reserved to a minimum of 50% allocation per state. In the absence of female students in a particular Salt Factory/State, the reward could be given to the available eligible male students in each category of other Salt Factory/State.","{""AGE"": [""the year 1985"", ""2011-12"", ""3500""], ""GENDER"": [], ""LOCATION"": [""Salt Industry""], ""OCCUPATION"": [], ""INCOME"": [""\u20b945.00 Lakh"", ""1500/-"", ""2000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Financial Assistance to Indigent Tamil Scholars,"The Arts and Culture Department, Puducherry launched the scheme ""Financial Assistance to Indigent Tamil Scholars"". The scheme aims to provide financial assistance of ₹1,500/- per month to indigent artists aged 58 years and above and contribution to Tamil language and literature must be of significance. The applications are accepted offline.","{""AGE"": [""58 years""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""1,500/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Widow Pension (CBOCWWB),"The scheme “Widow Pension” was started by the Chandigarh Building and Other Construction Workers Welfare Board (CBOCWWB), Labour Department, Chandigarh. Under this scheme, financial assistance in the form of a monthly pension shall be given to the widows of male registered construction workers of the Board.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Chandigarh Building and Other Construction Workers Welfare Board""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [""Widow""], ""DISABILITY"": []}"
Training on Artificial Insemination for Self-Employment,"The ""Training on Artificial Insemination for Self-Employment"" scheme by the Animal Husbandry Department, Government of Madhya Pradesh aims to increase milk production through employment generation and breed improvement. Under this initiative, trained Gausevaks will receive an honorarium of ₹4,000 along with equipment worth ₹18,000. The program offers three months of free training, including one month of theoretical and two months of practical training, at Government-recognized institutes. Eligible candidates include pre-selected Gausevaks or unemployed youth (10th pass and above 18 years of age). This initiative promotes self-employment and strengthens the dairy sector.","{""AGE"": [""above 18 years of age""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""4,000"", ""18,000""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""10th pass""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization,"The scheme ""AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to help farmers by providing financial support for farm mechanization through Agro Service Providers, making agriculture more productive and cost-effective.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [""the Agriculture, Farmers Welfare and Cooperation Department""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
National Grassroots Innovation and Outstanding Traditional Knowledge Awards,"National Innovation Foundation (NIF)-India, an autonomous body of the Department of Science and Technology, Government of India, invites entries of unaided technological innovations and traditional knowledge developed at grassroots by an individual (Citizen of India) or group. The innovations can be in the fields of agriculture, health, energy, household or utility, transportation, livestock, etc. leading to the reduction in drudgery, livelihood generation, development of plant varieties or herbal remedies for human/ animal/ farming problems, or any other low cost sustainable green technologies. These should be unaided/ unsupervised and an outcome of one's creativity, without any technical support from external agencies. Creative ideas for innovative technologies/ techniques to solve persistent problems of society, which may not have been developed into prototypes, may also be submitted.
For the 14th National Biennial Competition for Green Grassroots Unaided Technological Innovations, Ideas & Outstanding Traditional Knowledge, the entries can be submitted from April 1, 2023, to March 31, 2025, which is the last date for submission.
﻿
There are six levels of awards:
Life Time Achievement Award (Conferred to an outstanding innovator with demonstrated lifelong creativity).
National First Award.
National Second Award.
National Third Award.
State Award.
Consolation Award.
﻿
No. of Awardees
Lifetime Achievement Award – 1
National Awards - 10-15 including all the three categories National First/ Second/ Third
State & Consolation awards – 15-20
﻿
The number of awards may vary subject to the submission of eligible applications of innovations during the competition period. If there are no eligible innovations, awards in one or more categories may not be given.
﻿
﻿","{""AGE"": [""April 1, 2023"", ""March 31, 2025""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Doodh Sanjivani Scheme,"The ""Doodh Sanjivani Scheme"" launched by the Women and Child Development Department, Gujarat, is a welfare initiative designed to improve the nutritional status of children and women in tribal and underdeveloped communities. The scheme benefits children aged 6 months to 6 years and pregnant and lactating mothers registered at Anganwadi centers. It covers 138 tribal and developing communities in 20 districts and is implemented through Anganwadi centers.","{""AGE"": [""6 months to 6 years""], ""GENDER"": [], ""LOCATION"": [""Gujarat"", ""Anganwadi"", ""Anganwadi""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen,"A scheme to provide financial assistance to a widow od Ex-Servicemen to settle in life through vocational training.
﻿
﻿
Depending on their educational level and aptitude, they may opt to undergo the requisite vocational training. Such a course may be pursued at any recognized vocational training institution run by Rajya Sainik Board/Zonal Sainik Board, state like ITI or private training institutions of repute like NIIT etc.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [""widow""], ""DISABILITY"": []}"
Chief Minister Kanya Utthan Yojana,"This scheme is to stop female feticide, encourage girl birth, encourage birth registration, complete vaccination of 02-year-old girls, increase the gender ratio, reduce girl child mortality rate, promote girl education, Curb child marriage, reduce the total fertility rate and bring girls into the mainstream of society by making them self-reliant, as a result of which girls will contribute significantly to the development of family and society.
The objective of the Scheme:
Stopping female foeticide.
To encourage the birth of a girl child.
To increase the sex ratio.
To encourage birth registration.
Complete vaccination of 2-year-old girls.
To reduce the girl-child mortality rate.
Promotion of girl child education.
To curb child marriage.
Bringing down the total fertility rate and bringing the girl child into the mainstream of society by making her self-reliant.
Management of scheme funds:
Funds will be arranged for this scheme by the state government, under this the amount will be made available to the Assistant Director, District Child Protection Unit from the Directorate of Social Welfare. After which the amount will be transferred to the bank account of the beneficiary's parent/ guardian by the Assistant Director, District Child Protection Unit.","{""AGE"": [""02-year-old"", ""2-year-old""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Unemployment Allowance to Differently Abled Persons,"The Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu, has implemented the ""Unemployment Allowance Scheme for Differently Abled Persons."" This initiative aims to provide targeted financial support to registered job seekers with disabilities who have been actively seeking employment through the employment exchange for a minimum of one year. Recognizing the distinct challenges faced by this population group in securing suitable employment, the program seeks to alleviate the economic burdens associated with unemployment and foster self-sufficiency during their job search. This intervention ultimately contributes to a more inclusive workforce by empowering differently-abled individuals to actively pursue their career goals.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Differently Abled"", ""Differently Abled""]}"
Scheme for Maternity Benefit,"The Scheme for Maternity Benefit was launched by the Tripura Building and Other Construction Workers Welfare Board, under the Labour Department of Tripura. The scheme aims to provide financial assistance to registered female construction workers or the wife of a male registered construction worker after delivery or in case of miscarriage, with a maximum of two claims per lifetime for each beneficiary.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Chief Minister’s Agriculture Mechanisation Programme,"Raising Govt. assistance in consideration of the high cost of Farm Machineries shall be a boon in the entire farm operation in the state as more than 70% population is directly dependent on agriculture. Considering this, the existing Farm Mechanisation Programme (under implementation jointly by the Govt. of India and State Govt.) is renamed into CM’s Agriculture Mechanisation Programme, which was approved by raising the State share subsidy against the distribution of Farm Machineries.
Objective:
To promote mechanization with the law of farm availability.
To provide hiring services for various agriculture Machinery/ Implements of post-harvest technology (PHY) equipment applied for different operations.
To expand mechanized activities during cropping seasons in large areas, especially in small and marginal land holdings.
To introduce improved, newly developed agriculture implements and machines in crop production.
To attain food and farm income security with the enhancement of area under different food and cash crops and transition from obsolete farm practices into technology-based improved farming operations.
Important Features:
District Agriculture Development Society (DADS) is authorized to select the beneficiaries as per Chief Minister's Sashakt Kisan Yojana-CM SKY.
Records of CHC are to be maintained with details of hiring charges by the beneficiary and should be authenticated by District Agriculture Officer.
All Custom Hiring Centers (CHCs) should be Geo-tagged and registered in the portal of the Monitoring & Training division of the Government of India.
Every beneficiary will have to contribute ₹6.00 lakh per CHC.
The subsidy is to be paid only at the source to the dealer of the company.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""India""], ""OCCUPATION"": [], ""INCOME"": [""6.00""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Construction of Dudhghar/ Godown (Scheduled Caste Area),"The scheme ""Construction of Dudhghar/ Godown (Scheduled Caste Area)"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial support to Village Milk Producer Co-operative Societies in Scheduled Caste areas that lack their own milk storage or cattle feed storage infrastructure. It also promotes installation of bulk milk coolers and similar equipment.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat"", ""Societies""], ""OCCUPATION"": [""the Agriculture, Farmers Welfare and Cooperation Department""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""Scheduled Caste"", ""Scheduled Caste""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Financial Assistance For Persons With Special Needs,"Details
Delhi Social Welfare Department is implementing a disability pension which is fusion of State as well Central Government contribution. The scheme is known as Subsistence Allowance/Financial Allowance to person with special need. The grant is Rs 2500/- per month.
These are the below mention disability consider under the scheme.
Blindness
Low vision
Leprosy-cured person
Deaf
Locomotor Disability
Cerebral Palsy
Autism Spectrum Disorder
Intellectual Disability (Mental Retardation)
Mental Illness
Dwarfism
Muscular Dystrophy
Acid Attack Victims
Hard of hearing
Speech and language disability
Specific Learning Disabilities
Multiple Sclerosis
Parkinson’s Disease
Hemophilia
Thalassemia
Sickle Cell Disease
Multiple Disabilities
﻿
﻿","{""AGE"": [""2500/- per month""], ""GENDER"": [], ""LOCATION"": [""Hemophilia""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""disability"", ""disability"", ""Disability"", ""Disability"", ""disability""]}"
Aam Aadmi Bima Yojana (Maharashtra),"The ""Aam Aadmi Bima Yojana"" scheme is implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. This Centrally Sponsored Scheme is aimed at providing insurance and scholarship benefits to landless laborers in rural areas, aged 18 to 59 years. The annual premium for each member is ₹200/-, with 50% of the premium subsidized by the State and Central Governments. The scheme covers all categories of beneficiaries and focuses on providing financial security through insurance and educational scholarships.","{""AGE"": [""18 to 59 years""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""200/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
SITARE-Appreciation Grant,"“Students Innovations for Translation & Advancement of Research Explorations (SITARE)” Scheme is started by the Biotechnology Industry Research Assistance Council (BIRAC) for supporting innovative student projects in the area of biotechnology. The scheme’s mandate is to promote and encourage young students for embracing translational research to develop innovative products and technologies addressing unmet needs. The scheme has two components: SITARE-Gandhian Young Technological Innovation Award Grant (SITARE-GYTI) and SITARE-Appreciation Grant.
SITARE-Appreciation Grant:
Residential workshops called as Biotech Innovation Ignition School (BIIS) for undergraduate students are organized to provide hands-on technical training and mentorship for problem identification in 3-4 weeks duration. Out of 30-40 students per workshop, 10 students are selected and provided grant support of up to INR 1 lakh each to encourage their inquisitiveness and sustained efforts. The recipients are recognized as BIRAC’s SITARE-Appreciation beneficiaries. In a year, 3 such workshops are conducted.
About BIIS:
The mandate of Biotech Innovation Ignition School (BIIS) is to provide exposure and orientation for the entrepreneurial journey through hands-on-technical training, interactive sessions with experts, access to a bio incubation center, etc. This is to promote grassroots innovations and nurture ideas with societal impact, pioneered by undergraduate students, especially from Tier II/III cities. The selected few would receive financial support of INR 1 lakh as an encouragement to pursue their inquisitive entrepreneurial idea. The fund recipients would be recognized as SITARE-Appreciation recipients and may also receive follow-up training and mentoring.
The BIIS is a national-level programme to provide up to 4 weeks of residential training benefitting up to 40 students in each session.","{""AGE"": [""3-4 weeks"", ""4 weeks""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Aahar Anudan Yojana,"The scheme ""Aahar Anudan Yojana"" by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh, provides monthly assistance of ₹1,000 to students, girls, and women from backward tribes like Baiga, Bharia, and Saharia. The scheme aims to combat malnutrition among special tribal families in the state by ensuring access to nutritious food through financial assistance.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Baiga"", ""Bharia"", ""Saharia""], ""OCCUPATION"": [], ""INCOME"": [""1,000""], ""SOCIAL_CATEGORY"": [""Scheduled Caste"", ""SC""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Water Conservation/ Environment Compliance,"The scheme “Subsidy for Water Conservation/ Environment Compliance” is a sub scheme under the “Incentive Scheme for MSMEs in Powerloom Sector”. It was launched on 1st January, 2022, by the Department of Micro, Small & Medium Enterprises and Textiles, Government of West Bengal, and shall remain valid upto 31st December, 2024.
Objective of the ""Incentive Scheme for MSMEs in Powerloom Sector”:
The objective of the Scheme is to extend fiscal incentives for installation of New age shuttleless Powerlooms by MSMEs in Textile sector with a view to boost production of the improved quality fabrics and to create a sustainable ecosystem for MSMEs in Textile sector which can maximize the utilization of resource, generate new employment and widen the area of operation to make the State emerge as the leader in Powerloom sector in country.
Objective of the ""Subsidy for Water Conservation/ Environment Compliance"" Sub-scheme:
Through this incentive, an eligible micro or small enterprise in the Powerloom sector for its approved project will be entitled with a reimbursement for the expenditure incurred by it towards the cost of captive sound pollution control devices.","{""AGE"": [""1st January, 2022"", ""31st December, 2024""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Salary Subsidy Scheme,"Launched in 2018, the ""Salary Subsidy Scheme"" is one of the ""Information Technology Policy Schemes"" by the Department of Information Technology, Government of Goa. The objective and the scope of this scheme is to provide a Salary Subsidy to the eligible Information Technology Units in the State of Goa. The subsidy would be provided as a matching grant to the salary paid to Fresher up to ₹10,000 per Fresher per month. All the New and Existing Units having their operations in Goa are eligible. The scheme has been framed as a part of Goa's IT Policy that envisages Goa as an aspirational geographical and human resource base for IT Units and a preferred destination for their investment and expansion.","{""AGE"": [""2018""], ""GENDER"": [], ""LOCATION"": [""the State of Goa""], ""OCCUPATION"": [], ""INCOME"": [""10,000""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Vidyakiranam Scheme-Educational Assistance To Children Of Disabled Parents,"The scheme “Vidyakiranam Scheme-Educational Assistance to Children of Disabled Parents” was launched by the Department of Social Justice, Government of Kerala. The government of Kerala has initiated this scheme which provides educational assistance to children of differently abled parents (disability for both parents/ disability for anyone parent) who are economically deprived. Under the scheme, educational assistance will be provided to 25 children from each district for a duration of 10 months.","{""AGE"": [""10 months""], ""GENDER"": [], ""LOCATION"": [""Kerala""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disabled"", ""differently abled"", ""disability"", ""disability""]}"
